Front End,QDWFOUROH-2810,New Feature,Allow use of '_' in hierarchy paths,Major,Closed,2
Platform,QDWFOUROH-2722,New Feature,HOLD - Cost Variability,Major,Closed,3
Platform,QDWFOUROH-2721,New Feature,HOLD - Person Month Cost Table,Major,Closed,1
Front End,QDWFOUROH-2408,Task,Reconcile api/readme.md and sample files with back end sprocs,Major,Closed,2
Front End,QDWFOUROH-2355,Task,Add column types on server to eliminate column type matching on client,Major,Closed,0
Front End,QDWFOUROH-2763,New Feature,Remove 'Rendering' option from prov attr. filter on MEM Dash + Detail report,Major,Open,2
Platform,QDWFOUROH-2712,New Feature,Update All Reporting to use new xml for filters,Major,Closed,3
Platform,QDWFOUROH-2711,New Feature,Update Filter CLR to use xml instead of individual parameters,Major,Closed,1
Platform,QDWFOUROH-2719,New Feature,POS/Facility Hierarchy,Major,Closed,3
Platform,QDWFOUROH-2739,New Feature,Load DRG Codes,Major,Closed,2
Front End,QDWFOUROH-2639,Task,Move super-select into Angular,Major,Deployed,3
Front End,QDWFOUROH-2668,Task,Set column data type in Rails layer,Major,Closed,4
Front End,QDWFOUROH-2758,New Feature,Add primary procedure filter,Major,Open,2
Platform,QDWFOUROH-2797,New Feature,CM Centralized Fact Field Calculation,Major,Closed,3
Platform,QDWFOUROH-2740,New Feature,Add UI ICD-9 Procedure,Major,Closed,1
Front End,QDWFOUROH-2708,Task,Convert filter parameters to XML data structure,Major,Deployed,3
Platform,QDWFOUROH-2773,New Feature,Create Cost Management Fact Table,Major,Closed,3
Platform,QDWFOUROH-2718,New Feature,Add New Global Filters,Major,Closed,5
Platform,QDWFOUROH-2770,New Feature,geocode addresses,Major,Closed,7
Platform,QDWFOUROH-2777,New Feature,CM Grouping Procedure,Major,Closed,5
Platform,QDWFOUROH-2767,New Feature,Update uspGetProviderIDs,Major,Closed,2
Platform,QDWFOUROH-2772,New Feature,List of Cost Management Grouping Options,Major,Closed,1
Front End,QDWFOUROH-2759,New Feature,Add POS/service facility filter,Major,Open,2
Front End,QDWFOUROH-2671,Task,Remove column data type logic from client-side code,Major,In Progress,5
Front End,QDWFOUROH-2554,New Feature,HOLD - Member Product filter can be hidden in some environments,Major,Open,3
Front End,QDWFOUROH-2803,New Feature,HOLD Add link to detail report,Major,Open,2
Front End,QDWFOUROH-2948,New Feature,Determine data format for cost/variability analyzer,Major,Closed,2
Platform,QDWFOUROH-2783,Epic,CM Group Analysis,Major,Open,13
Platform,QDWFOUROH-2774,New Feature,Create Cost Management ETL Job,Major,Closed,5
Front End,QDWFOUROH-2840,Task,Update API endpoints and Rails code to match renamed Platform fields,Major,Deployed,2
Platform,QDWFOUROH-2731,New Feature,Inpatient Grouper,Major,Closed,5
Front End,QDWFOUROH-2720,New Feature,Add primary summary and selection pane to MEM Dash,Major,Deployed,2
Front End,QDWFOUROH-2950,New Feature,HOLD Implement fact toggle for cost/variability analyzer,Major,Open,3
Platform,QDWFOUROH-2786,New Feature,Update Measure Parser to support code category of mult code sets,Major,Closed,13
Platform,QDWFOUROH-2778,New Feature,CM Detail Report,Major,Closed,3
Platform,QDWFOUROH-2775,New Feature,Cost Timeline Procedure,Major,Closed,3
Platform,QDWFOUROH-2779,New Feature,HOLD - CM Geocoding Procedure,Major,Open,13
Front End,QDWFOUROH-2960,New Feature,HOLD Pass user's attributed facilities to all MEM Dash/Detail procedures,Major,Open,3
Front End,QDWFOUROH-2725,New Feature,Add change over time pane to MEM Dash,Major,Open,4
Front End,QDWFOUROH-2785,New Feature,Add risk adjusted data filter,Major,Open,2
Front End,QDWFOUROH-2753,New Feature,Add service provider filter,Major,Open,2
Front End,QDWFOUROH-2752,New Feature,Add specialty filter,Major,Open,2
Platform,QDWFOUROH-2995,New Feature,Return Total Persons/Member Months for Map View,Major,Open,2
Front End,QDWFOUROH-2799,New Feature,HOLD Add geography analysis pane,Major,Open,5
Front End,QDWFOUROH-2762,New Feature,HOLD - Add new PCP provider/facility filter,Major,Open,3
Platform,QDWFOUROH-2816,New Feature,HCC Manual Setup Tables,Major,Deployed,2
Platform,QDWFOUROH-2815,New Feature,Load SAS HCC Coeficients,Major,Deployed,1
Platform,QDWFOUROH-2732,New Feature,HCC Risk Algorithm,Major,Deployed,4
