Platform,QDWFOUROH-2920,Bug,@Fact is not used in Utilization Reports,Critical,Deployed
Front End,QDWFOUROH-2426,Bug,HOLD - User can hang web application with constant clicks/requests,Major,Open
Front End,QDWFOUROH-1858,Bug,test is not responding due to a long-running script,Major,Deployed
Platform,QDWFOUROH-2827,Bug,Update web Get Procedures to follow StrongCase form,Major,Closed
Platform,QDWFOUROH-2890,Bug,Make PathSegment a varchar in GetLocationIDs,Major,Closed
Platform,QDWFOUROH-2908,Bug,Update uspReprocessProvider to ignore unassigned providers and prov_type cannot be resrubbed,Major,Closed
Platform,QDWFOUROH-2957,Bug,"Delete ""Last ED Visit Date"" column from ED Freq Flyer report",Major,Open
Front End,QDWFOUROH-2984,Bug,Toggling 'all' on Multi-select clears the selected options without clearing the checkboxes,Major,Review
Platform,QDWFOUROH-2990,Bug,SPR does not list Funct PCP unless pt had visit or has upcoming appt,Major,Open
Platform,QDWFOUROH-2982,Bug,Cost management Arithmetic overflow error,Major,Deployed
Front End,QDWFOUROH-2868,Bug,ng-grid columns sometimes overlap in IE,Minor,Open
Front End,QDWFOUROH-2839,Bug,Users without accounts can request password resets,Minor,Deployed
Front End,QDWFOUROH-2869,Bug,Login redirect doesn't work in IE,Minor,Deployed
Front End,QDWFOUROH-2897,Bug,Favorites are converting all facilities to each individual facility,Minor,Deployed
Platform,QDWFOUROH-2951,Bug,"ACO Flu Exceptions should be ""during the flu season""",Minor,Open
Platform,QDWFOUROH-2983,Bug,Facts for Cost Management Timeline,Minor,In Progress
Front End,QDWFOUROH-2896,Bug,Aggregate report data runs the indicator class against the main grid data,Trivial,Open
